WH,Part,Description,Bin,Department,ResourceGrpID,Minimum
14,903117-01,"NUT,NYLON.5-13 UNC-2B SS",KID03R1,118,RG384,
14,903127-01,"NUT,NYL INSRT,.75-10UNC GR8,ZC",KID03R1,118,RG384,
14,903134-01,"NUT, NYL INSRT STOP .375-16 SS",KID03R1,118,RG384,
14,903402-09,"WASHER,FLAT,NYLON,.38ID X.75OD",KID03R1,118,RG384,
14,903409-05,"WASHER,FEND .53 X1.25OD,SS",KID03R1,118,RG384,
14,903409-07,"WASHER,FEND .28 X1.25 OD,SS",KID03R1,118,RG384,
14,903719-03,"RIVET,BL/DM,SS .25X.25-.37",KID03R1,118,RG384,
14,903719-04,"RIVET,BL/DM,SS .25X.37-.5",KID03R1,118,RG384,
14,904002-1,"RIVET, BLIND .19X.7 DOME",KID03R1,118,RG384,
14,904719-09,"PIN ROLL,.188 X1LG,SS",KID03R1,118,RG384,
14,905208,PLASTIC BAG 4 X 8 X .002,KID03R1,118,RG384,
14,905344-01,"BUMPER,RUBBER,BLK 2.5X3X24",KID03R1,118,RG384,
14,905378-02,CARTON BOX 54 X 19 X 7.5,KID03R1,118,RG384,
14,908289-01,"SNAP, SLIDE-BOLT, W/HOOK",KID03R1,118,RG384,
14,M-08-05,"INSTR, LIFT KIT FRAMELESS TRLR",KID03R1,118,RG384,
14,M-08-06,"INSTR, GPTLR KIT FRMLESS TRLR",KID03R1,118,RG384,
